epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.398,0.25099,1.46249,0.98967,0.78616,0.79183,0.84065,0.78652,0.29788,1.06467,0.62187,0.00036765,0.00036765,0.00036765
2,448.417,0.18164,0.85532,0.93095,0.64979,0.6517,0.63346,0.4929,0.54849,1.58486,0.83114,0.000689276,0.000689276,0.000689276
3,837.081,0.18469,0.80893,0.92223,0.79112,0.80507,0.84834,0.77769,0.37062,0.81695,0.63329,0.000962019,0.000962019,0.000962019
4,1385.17,0.16569,0.7754,0.91797,0.87533,0.84061,0.93491,0.9213,0.18889,0.66866,0.47535,0.000891022,0.000891022,0.000891022
5,1681.44,0.1417,0.71222,0.9053,0.8925,0.86981,0.94219,0.93183,0.18136,0.53288,0.46665,0.000817696,0.000817696,0.000817696
6,2035.48,0.12901,0.65488,0.89876,0.79549,0.81194,0.88178,0.84428,0.26758,0.93435,0.55167,0.00074437,0.00074437,0.00074437
7,2304.38,0.11034,0.59138,0.88815,0.81874,0.82306,0.91967,0.91477,0.16152,0.64772,0.44464,0.000671044,0.000671044,0.000671044
8,2624.96,0.09063,0.53707,0.88077,0.80426,0.84171,0.91858,0.91366,0.19694,0.69191,0.48377,0.000597718,0.000597718,0.000597718
9,2839.85,0.08761,0.47569,0.87252,0.88052,0.87685,0.94936,0.94787,0.16989,0.51048,0.44045,0.000524392,0.000524392,0.000524392
10,3166.87,0.08095,0.42505,0.86909,0.85781,0.92717,0.96543,0.96104,0.12937,0.44518,0.41834,0.000451066,0.000451066,0.000451066
11,3404.01,0.07368,0.39833,0.86781,0.88017,0.84514,0.9462,0.9428,0.14018,0.49381,0.4257,0.00037774,0.00037774,0.00037774
12,3750.59,0.06729,0.34099,0.86747,0.85582,0.892,0.97007,0.96958,0.13512,0.48185,0.41744,0.000304414,0.000304414,0.000304414
13,4061.57,0.05562,0.28864,0.86265,0.9324,0.92772,0.98165,0.98073,0.1448,0.36013,0.43282,0.000231088,0.000231088,0.000231088
14,4373.1,0.05107,0.25286,0.85373,0.92899,0.94515,0.98182,0.98163,0.10846,0.29364,0.3887,0.000157762,0.000157762,0.000157762
15,4658.53,0.04391,0.21527,0.85703,0.96826,0.91101,0.98435,0.98366,0.11758,0.29215,0.4033,8.4436e-05,8.4436e-05,8.4436e-05
